symbol	mcap_cr	pe	pb	industry
EMMVEE	15490	17.3	13.9	Unknown
ENDURANCE	30963	33.6	4.9	Auto Components & Equipments
ENGINERSIN	11377	14.7	4.2	Civil Construction
ENRIN	93336	79.0	21.3	Heavy Electrical Equipment
ERIS	18417	42.1	5.9	Pharmaceuticals
ESCORTS	31834	24.2	2.7	Tractors
ETERNAL	211584	1009.6	7.0	E-Retail/ E-Commerce
EXIDEIND	25405	30.7	1.7	Auto Components & Equipments
FACT	51158	1718.7	37.2	Fertilizers
FEDERALBNK	66889	16.5	1.8	Private Sector Bank
FINCABLES	12376	18.2	2.2	Cables - Electricals
FINPIPE	9874	19.7	1.7	Plastic Products - Industrial
FIRSTCRY	10999		2.3	E-Retail/ E-Commerce
FIVESTAR	10542	9.5	1.5	Non Banking Financial Company (NBFC)
FLUOROCHEM	35087	53.6	4.6	Specialty Chemicals
FORCEMOT	27911	20.4	8.0	Passenger Cars & Utility Vehicles
FORTIS	61012	63.6	6.5	Hospital
FSL	15454	25.0	3.5	Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
GAIL	94116	11.0	1.1	Gas Transmission/Marketing
GENUSPOWER	6719	12.2	3.5	Unknown
GESHIP	20887	9.3	1.4	Shipping
GICRE	67623	7.0	0.7	General Insurance
GILLETTE	24428	45.9	21.0	Personal Care
GLAND	28009	33.0	2.9	Pharmaceuticals
GLAXO	39753	38.9	23.3	Pharmaceuticals
GLENMARK	59418	55.9	6.2	Pharmaceuticals
GMDCLTD	18991	19.2	2.8	Industrial Minerals
GMRAIRPORT	96298		-30.9	Airport & Airport services
GODFRYPHLP	30050	23.3	5.2	Cigarettes & Tobacco Products
GODIGIT	29573	57.6	6.3	General Insurance
GODREJAGRO	11034	25.2	6.1	Animal Feed
GODREJCP	102524	56.3	8.4	Personal Care
GODREJIND	28377	29.0	2.7	Diversified
GODREJPROP	47732	30.1	2.6	Residential Commercial Projects
GPIL	17863	23.4	3.2	Iron & Steel Products
GRANULES	15958	28.6	3.9	Pharmaceuticals
GRAPHITE	12454	37.8	2.1	Electrodes & Refractories
GRASIM	177301	39.2	1.8	Cement & Cement Products
GRAVITA	10061	26.2	4.5	Industrial Minerals
GROWW	103401	59.5	13.4	Unknown
GRSE	25887	37.5	11.3	Aerospace & Defense
GSPL	13417	12.7	1.1	Gas Transmission/Marketing
GUJGASLTD	21846	18.8	2.5	LPG/CNG/PNG/LNG Supplier
GVT&D	95329	89.1	45.7	Heavy Electrical Equipment
HAL	250931	28.2	6.8	Aerospace & Defense
HAPPSTMNDS	5790	31.3	3.5	Computers - Software & Consulting
HAVELLS	75689	50.8	8.7	Consumer Electronics
HBLENGINE	18740	23.6	9.4	Other Industrial Products
HCLTECH	379684	23.1	5.0	Computers - Software & Consulting
HDFCAMC	102242	35.7	13.2	Asset Management Company
HDFCBANK	1186823	17.2	2.1	Private Sector Bank
